image_filepath,image_rain_filepath
/home/bernerd/eecs556/dataset/images/973.jpg,/home/bernerd/eecs556/dataset/images_rain/973_14.jpg
/home/bernerd/eecs556/dataset/images/991.jpg,/home/bernerd/eecs556/dataset/images_rain/991_12.jpg
/home/bernerd/eecs556/dataset/images/821.jpg,/home/bernerd/eecs556/dataset/images_rain/821_13.jpg
/home/bernerd/eecs556/dataset/images/878.jpg,/home/bernerd/eecs556/dataset/images_rain/878_4.jpg
/home/bernerd/eecs556/dataset/images/963.jpg,/home/bernerd/eecs556/dataset/images_rain/963_4.jpg
/home/bernerd/eecs556/dataset/images/950.jpg,/home/bernerd/eecs556/dataset/images_rain/950_2.jpg
/home/bernerd/eecs556/dataset/images/859.jpg,/home/bernerd/eecs556/dataset/images_rain/859_13.jpg
/home/bernerd/eecs556/dataset/images/825.jpg,/home/bernerd/eecs556/dataset/images_rain/825_2.jpg
/home/bernerd/eecs556/dataset/images/870.jpg,/home/bernerd/eecs556/dataset/images_rain/870_10.jpg
/home/bernerd/eecs556/dataset/images/920.jpg,/home/bernerd/eecs556/dataset/images_rain/920_14.jpg
/home/bernerd/eecs556/dataset/images/808.jpg,/home/bernerd/eecs556/dataset/images_rain/808_1.jpg
/home/bernerd/eecs556/dataset/images/997.jpg,/home/bernerd/eecs556/dataset/images_rain/997_5.jpg
/home/bernerd/eecs556/dataset/images/958.jpg,/home/bernerd/eecs556/dataset/images_rain/958_2.jpg
/home/bernerd/eecs556/dataset/images/807.jpg,/home/bernerd/eecs556/dataset/images_rain/807_12.jpg
/home/bernerd/eecs556/dataset/images/815.jpg,/home/bernerd/eecs556/dataset/images_rain/815_4.jpg
/home/bernerd/eecs556/dataset/images/887.jpg,/home/bernerd/eecs556/dataset/images_rain/887_6.jpg
/home/bernerd/eecs556/dataset/images/985.jpg,/home/bernerd/eecs556/dataset/images_rain/985_5.jpg
/home/bernerd/eecs556/dataset/images/929.jpg,/home/bernerd/eecs556/dataset/images_rain/929_13.jpg
/home/bernerd/eecs556/dataset/images/941.jpg,/home/bernerd/eecs556/dataset/images_rain/941_14.jpg
/home/bernerd/eecs556/dataset/images/955.jpg,/home/bernerd/eecs556/dataset/images_rain/955_12.jpg
/home/bernerd/eecs556/dataset/images/826.jpg,/home/bernerd/eecs556/dataset/images_rain/826_14.jpg
/home/bernerd/eecs556/dataset/images/910.jpg,/home/bernerd/eecs556/dataset/images_rain/910_13.jpg
/home/bernerd/eecs556/dataset/images/980.jpg,/home/bernerd/eecs556/dataset/images_rain/980_5.jpg
/home/bernerd/eecs556/dataset/images/845.jpg,/home/bernerd/eecs556/dataset/images_rain/845_1.jpg
/home/bernerd/eecs556/dataset/images/812.jpg,/home/bernerd/eecs556/dataset/images_rain/812_12.jpg
/home/bernerd/eecs556/dataset/images/937.jpg,/home/bernerd/eecs556/dataset/images_rain/937_8.jpg
/home/bernerd/eecs556/dataset/images/837.jpg,/home/bernerd/eecs556/dataset/images_rain/837_7.jpg
/home/bernerd/eecs556/dataset/images/867.jpg,/home/bernerd/eecs556/dataset/images_rain/867_9.jpg
/home/bernerd/eecs556/dataset/images/960.jpg,/home/bernerd/eecs556/dataset/images_rain/960_13.jpg
/home/bernerd/eecs556/dataset/images/988.jpg,/home/bernerd/eecs556/dataset/images_rain/988_10.jpg
/home/bernerd/eecs556/dataset/images/831.jpg,/home/bernerd/eecs556/dataset/images_rain/831_7.jpg
/home/bernerd/eecs556/dataset/images/959.jpg,/home/bernerd/eecs556/dataset/images_rain/959_13.jpg
/home/bernerd/eecs556/dataset/images/920.jpg,/home/bernerd/eecs556/dataset/images_rain/920_12.jpg
